NUMERO_POLICE,CODE_SOUS_BRANCHE,NUM_AVNT_COURS,DATE_EFFET,DATE_EXPIRATION,TYPE,WILAYA_CODE,WILAYA_NAME,COMMUNE_CODE,COMMUNE_NAME,CAPITAL_ASSURE,PRIME_NETTE,ZONE_RPA
16330013230012,3302,0,2023-01-03,2024-01-02,Industrial,9,BLIDA,111,BIRTOUTA,1000000.0,2500.0,III
34303003230006,3302,0,2023-01-04,2024-01-03,Industrial,34,B.B ARRERIDJ,368,BORDJ BOU ARRERIDJ,1000000.0,2500.0,IIb
19306003230396,3302,0,2023-05-10,2024-05-09,Industrial,19,SETIF,1158,EL EULMA,60000000.0,25800.0,IIb
23304003230170,3302,0,2023-12-04,2024-12-03,Industrial,23,ANNABA,155,AIN BERDA,50000000.0,-21500.0,IIb
23304003230170,3302,0,2023-12-04,2024-12-03,Industrial,23,ANNABA,155,AIN BERDA,50000000.0,21500.0,IIb
6309003230005,3302,0,2023-01-12,2024-01-11,Industrial,6,BEJAIA,297,TAZMALT,2000000.0,2500.0,IIb
42303003230012,3302,0,2023-01-22,2024-01-21,Industrial,42,TIPAZA,1394,BOU ISMAIL,6000000.0,3000.0,III
15309003240008,3302,0,2024-01-01,2024-12-31,Industrial,15,TIZI OUZOU,1498,TIGZIRT,44000000.0,18920.0,IIb
16340003230331,3302,0,2023-10-09,2024-10-08,Industrial,35,BOUMERDES,459,KHEMIS EL KHECHNA,11000000.0,5170.0,III
34303003240001,3302,0,2024-01-03,2025-01-02,Industrial,34,B.B ARRERIDJ,368,BORDJ BOU ARRERIDJ,1000000.0,2500.0,IIb
9306003230275,3302,0,2023-09-11,2024-09-10,Industrial,9,BLIDA,362,SOUMAA BLIDA,1000000.0,2500.0,III
6309003230136,3302,0,2023-12-14,2024-12-13,Industrial,6,BEJAIA,297,TAZMALT,4000000.0,2500.0,IIb
31310003230388,3302,0,2023-10-03,2024-10-02,Industrial,31,ORAN,1011,ES SENIA,1000000.0,2500.0,IIb
19306003230679,3302,0,2023-07-31,2024-07-30,Industrial,19,SETIF,1158,EL EULMA,34000000.0,14620.0,IIb
16245003230034,3302,1,2023-05-03,2024-02-29,Industrial,16,ALGER,99,ALGER,8389997969.33,0.0,III
16331023230175,3302,0,2023-09-25,2024-09-24,Industrial,16,ALGER,108,BENI MESSOUS,6840000.0,3420.0,III
43301023230043,3302,0,2023-07-04,2024-07-03,Industrial,43,MILA,894,TADJENANET,2200000.0,2500.0,IIb
35302003230011,3302,0,2023-03-01,2024-02-29,Industrial,35,BOUMERDES,469,TAOURGA,1000000.0,2500.0,III
34303003230084,3302,0,2023-06-14,2024-06-13,Industrial,34,B.B ARRERIDJ,369,BORDJ GHDIR,1000000.0,2500.0,IIb
16311003230429,3302,0,2023-11-12,2024-11-11,Industrial,16,ALGER,137,LES EUCALYPTUS,2500000.0,2500.0,III
10302003230277,3302,0,2023-10-06,2024-10-05,Industrial,10,BOUIRA,410,BOUIRA,1000000.0,2500.0,IIb
16245003230072,3302,0,2023-10-01,2023-12-31,Industrial,16,ALGER,124,EL ACHOUR,325646575.6,-41040.391,III
16245003230072,3302,0,2023-10-01,2023-12-31,Industrial,16,ALGER,124,EL ACHOUR,325646575.6,41040.391,III
31201003230075,3302,0,2023-10-05,2024-10-04,Industrial,31,ORAN,1011,ES SENIA,2000000.0,2500.0,IIb
14301003230169,3302,0,2023-06-26,2024-06-25,Industrial,14,TIARET,1384,TIARET,8470000.0,3388.0,IIa
34303003230045,3302,0,2023-03-30,2024-03-29,Industrial,34,B.B ARRERIDJ,376,EL HAMMADIA,1000000.0,2500.0,IIb
19306003230336,3302,0,2023-04-14,2024-04-13,Industrial,19,SETIF,1158,EL EULMA,3000000.0,2500.0,IIb
19306003230447,3302,0,2023-05-21,2024-05-20,Industrial,19,SETIF,1140,BAZER SAKRA,7500000.0,3225.0,IIb
